Review,feature,ads,performance,overall_sentiment
This is an awesome app. and usefull too.,Positive,Positive,Positive,positive
Why shouldn't I put 5 stars?,Positive,Neutral,Positive,negative
❤️,Positive,Positive,Positive,positive
This is very useful app to understand the meaning of Qur'an l,Positive,Neutral,Positive,positive
Good app,Positive,Positive,Positive,positive
Very good. May God bless you all and reward you with all the best. I liked it. Thank you,Positive,Positive,Positive,positive
"I installed various applications, but this was the one I liked the most. You can really adjust everything as you wish.",Positive,Neutral,Positive,positive
"Thank you, this app is very helpful in understanding the Qur'an",Positive,Positive,Positive,positive
AlhmdulilAllah bht acha hn bht beneficial,Positive,Neutral,Neutral,positive
Easy to read,Positive,Neutral,Positive,positive
"Masha allah, good app",Positive,Positive,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
Fantastic App,Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
Allahumdullilah best experience,Positive,Positive,Positive,positive
"May God bless their work, and I highly recommend it. It is very, very useful",Positive,Positive,Positive,positive
A very great application that annoys me about one thing: the explanation or the reason for the revelation of the verses. It is supposed to be on the same page. I can select a word or verse on some of them and the explanation for it will appear for me.,Positive,Negative,Positive,negative
Masha Allah this app is so helpful and easy to read and understand.I can easily read. jazakallahu khair.May Allah tala grant you all jannatul firdaus,Positive,Positive,Positive,positive
"Very clear and accurate tafsir and user friendly UI. Tried a few apps, this works the best. Although prefer the actual book but this works as a good alternative when no Al Quran available.",Positive,Positive,Positive,positive
Best Quran app ever,Positive,Positive,Positive,positive
"Highly recommended, has lots of features to make it easier to use, and setup is easy and not too complicated",Positive,Positive,Positive,positive
👌👌👌,Neutral,Neutral,Positive,positive
"This Quranic app is exceptional, it's excellent and love it so much, may Allah bless the developers.",Positive,Positive,Positive,positive
"Cakeppp, you need to have this software",Neutral,Neutral,Neutral,neutral
Alhamdulillah very helpful in understanding the Qur'an and easy to find the letter. 👍,Positive,Positive,Positive,positive
This is the app what I was looking for since long. It's huge! Loved it.,Positive,Positive,Positive,positive
Nice App,Positive,Positive,Positive,positive
Good let him down,Neutral,Neutral,Negative,negative
"Excellent application, excellent, excellent, excellent, excellent, excellent.. I want to translate the Holy Quran into Arabic, and the interpretation should also be Arabic. How?",Neutral,Neutral,Positive,positive
Excellent 👍,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
Very good apps.,Positive,Positive,Positive,positive
The most beautiful proposal I know. Thanks to the developers.,Neutral,Neutral,Positive,positive
This is great I love it,Positive,Positive,Positive,positive
The app is quite nice owing to i ever not come across any Quranic app better than this.,Positive,Positive,Positive,positive
One of the best app I have ever come across. May God reward you,Positive,Positive,Positive,positive
gob,Neutral,Neutral,Positive,negative
very good,Positive,Positive,Positive,positive
One of the best apps I've ever used,Positive,Positive,Positive,positive
Alhamdulillah..,Neutral,Neutral,Positive,positive
Assalaamu alaykum wa rahmatullaahi wa barakaatuh perfect app so far. I use this app with my children. One feature you can add is an AI tool for memorization.,Positive,Positive,Positive,positive
Nice apps,Positive,Positive,Positive,positive
It's a very good app.,Positive,Neutral,Positive,positive
Super pridlogenia,Positive,Positive,Positive,positive
Very good with good transalations,Positive,Positive,Positive,positive
Top,Positive,Neutral,Positive,positive
Alhamdulillah. A very good and useful app.,Positive,Positive,Positive,positive
Wow....... Best of its kind. So easy to learn Quran,Positive,Positive,Positive,positive
Most helpful app with soothing recitation,Positive,Positive,Positive,positive
Very good mashallah,Positive,Positive,Positive,positive
I really like this app and I wish Allah almighty will let this app reach were you the owners want it to reach,Positive,Positive,Positive,positive
one true love,Positive,Positive,Positive,positive
Best😊🙏🙏💯 the translation are clear and in understandable English and the fact that they translate word per word it's so nice 👍 and the Arabic......😶this app 👌,Positive,Positive,Positive,positive
"Alhamdhulillah,, I love this app because it reminds me of my daily food for the soul.Mashaallah its amazing🌹.I think rating it at four is good",Positive,Positive,Positive,positive
amazing app,Positive,Positive,Positive,positive
very well. Thank You,Positive,Positive,Positive,positive
It is a very good App. I would like to see more tafseers. It will then be excellent.,Positive,Neutral,Positive,positive
MashaAllah the best App. I like the way Tafsir and the way explained by word.,Positive,Positive,Positive,positive
"A wonderful application, I recommend downloading it ❤️‍🩹",Positive,Positive,Positive,positive
Best book I have 🤳,Neutral,Neutral,Positive,positive
good,Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
MashaAllah....,Neutral,Neutral,Positive,positive
"Al Quran is very complete, easy to learn and understand.",Positive,Neutral,Positive,positive
This is lovely and best among the others,Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
Best Qur'an application,Positive,Neutral,Positive,positive
All you need,Positive,Positive,Positive,neutral
"Very nice Quran up When I saw that this app was Bangladeshi, it was even better🥰",Positive,Positive,Positive,positive
Great,Positive,Positive,Positive,positive
Wow!,Positive,Neutral,Positive,positive
Illuminating,Positive,Positive,Positive,neutral
Great app to learn the pronunciation.,Positive,Neutral,Positive,positive
masha allah excellent,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
"Alhamdulillah i downloaded this beautiful quran app.... And may Allah bless the developer here and hereafter..and also the person who shared this app with me... It's everything a person needs... Tafseer, Tajweed, Reciting, Fonts i mean this app has got everything, except the ads❤❤ (that annoy too much).....and i recommend everyone to download it...",Positive,Negative,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
Good,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"Thank you ❤️ Mashallah, a very beautiful programme",Positive,Positive,Positive,positive
Clean but I can't put the tafsir word by word in French so I can't be sad 😔,Negative,Neutral,Negative,negative
Excellent,Positive,Positive,Positive,positive
It's a really wonderful app with multiple reciters,Positive,Positive,Positive,positive
Useful n helpful n appreciate d efforts put in by u all. Easy to follow n referencing,Positive,Positive,Positive,positive
Very good app. Everyone download this app Zajakallohu Khairan,Positive,Positive,Positive,positive
I am fine to get this Quran,Positive,Neutral,Positive,positive
"This app is so glamorous , by the obviously it contains The Holy Quran , it is so easy to use this app I would suggest , don't give a second thought just click on download... Remember :- ""Allah is the most merciful "" start your day with Quran surah Yaseen and end it with Quran surah Mulk and the last 2 ayats of surah baqarah.",Positive,Positive,Positive,positive
Mashallah I like the audio part mostly,Positive,Positive,Positive,positive
"Alhamdulillah, this app is helpful and easy to use, suitable for use when outside the area...",Positive,Positive,Positive,positive
Very good app.,Positive,Positive,Positive,positive
"May God reward you, excellent, God willing",Positive,Positive,Positive,positive
Great app Hope for more features,Negative,Positive,Positive,positive
❤️🧡,Positive,Neutral,Positive,positive
It is an excellent app 😁,Positive,Positive,Positive,positive
I recommend this app very useful,Positive,Positive,Positive,positive
Mashallah oshadharon,Neutral,Neutral,Neutral,positive
Had wonderful experience clear fonts word to word explanation and you get a short tafseer as well serves the purpose and jazak Allah khair for making this app,Positive,Positive,Positive,positive
"Excellent, it only requires the Internet at first to download the Qur’an to any reader you want, then after that you do not need the Internet, but the font is beautiful and there are no annoying ads. May God bless you and bless you.",Positive,Positive,Positive,positive
top,Positive,Neutral,Positive,positive
I Love Quran ❤️🥰🫶,Positive,Positive,Positive,positive
"Alhamdulillah, very well.",Neutral,Neutral,Positive,positive
It has problems with word to word translation. Only few words in a verse show word to word translation. Please fix this,Negative,Negative,Negative,negative
beautiful,Positive,Positive,Positive,positive
"I have not take so much time using this app but I found it to be very helpful and useful, also how the search is working, if you type a word, the whole verses with that word will appear, then you select the verse you are looking for, and the translation and explanation of it is very interesting, only thing I can suggest is that, the audio should be listed offline after downloaded, but it will only be listed online, that is the only suggestion that I have, but the app is very nice and useful.",Positive,Positive,Positive,positive
excellent application Practical and very easy to use Allows you to learn the QURAN by repetition following a wise teacher.,Positive,Neutral,Positive,positive
Great God bless you,Positive,Positive,Positive,positive
Great,Positive,Positive,Positive,positive
God bless you 🙏,Neutral,Neutral,Positive,positive
Best quran app out there.,Neutral,Neutral,Positive,positive
Allahumma barikkkk... Alhamdulillah BEST APP FOR BEGINNERS OF TAFSEER AND ARABIC WORDS WITH ITS ROOTS,Positive,Positive,Positive,positive
Very helpful mashAllah,Positive,Positive,Positive,positive
Better understand the contents of the letter,Neutral,Neutral,Neutral,neutral
Including the applications that I open most often 👍👍👍,Neutral,Neutral,Positive,positive
This is great work I love it Islam is the best now I am able to understand it with my own language thanks,Positive,Positive,Positive,positive
💗💗,Neutral,Neutral,Positive,positive
"May God bless you and bless your efforts and put them in the balance of your good deeds. Apply the values ​​of God, bless",Positive,Positive,Positive,positive
Very perfect,Positive,Positive,Positive,positive
"The best app for anyone whose first language isn't Arabic, it translates every ayah in ur desired language. It is so helpful to read and understand Quran like never before. JazaakAllah khair to the developers off this app. A must-have for anyone who wants to understand the meaning of every ayah.",Positive,Positive,Positive,positive
"A wonderful and distinctive application, may God reward you",Positive,Positive,Positive,positive
I like the app,Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
This is the best Android application for Quran. Thanks to the Green Tech Team.,Neutral,Neutral,Positive,positive
Appreciating and correct saying,Positive,Positive,Positive,positive
"Good luck, God willing",Neutral,Neutral,Positive,positive
Nice,Positive,Positive,Positive,positive
May God put it in the balance of your good deeds,Neutral,Neutral,Neutral,positive
"This is such a beautiful version of the Qur'an, it has made it very easy for me to learn the Qur'an, Ma sha Allah",Positive,Positive,Positive,positive
Great... The composition is easy to read,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
It’s very useful... I hope everyone understand very willingly by this apps..I think this app is enough to know Quran well. I got a lot of inspiration to learn the tafsee of the Qur'an. These apps are helping me to understand and learn. Thanks to those who are managing this apps.,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"Great, recitefull, clear, and inspirational.",Positive,Positive,Positive,positive
"MashaAllah, it make me so excited.",Positive,Neutral,Positive,positive
Good apps,Positive,Positive,Positive,positive
"A very good app with no ads which makes its excellent source for Quran Al Majeed Recitation,tafsir,meanings,translation a very enlightening experience.",Positive,Positive,Positive,positive
It's just the best 💫,Positive,Positive,Positive,positive
A part of peircing light of guidance,Neutral,Neutral,Positive,neutral
May God reward you with goodness in this world and the hereafter. May God bless you,Positive,Positive,Positive,positive
Above excellent,Positive,Positive,Positive,positive
Hopefully better future..,Neutral,Neutral,Neutral,positive
"very helpful,",Positive,Positive,Positive,positive
This app is very interesting,Positive,Positive,Positive,positive
Excellent aap. I use it daily. Very dependable and user friendly. No issues or bugs. Highly recommended.,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
It's a nice app will recommend everyone to have it.,Positive,Positive,Positive,positive
Best app ever to use,Positive,Positive,Positive,positive
It's very easy to use. It's the most simplest Quran tafseer app that I have ever seen,Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
Excellent,Positive,Positive,Positive,positive
This app is good,Positive,Positive,Positive,positive
Simply love it,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
God bless,Neutral,Neutral,Positive,positive
A very good app. You can also use the app for memorization. It also has different Tafsir and there is also a word by word translation. I would highly recommend it.,Positive,Positive,Positive,positive
Excellent. It is the best application so far. I like t,Positive,Positive,Positive,positive
Good app 😊,Positive,Positive,Positive,positive
All praise to be Allah... Excellent app.. Mashallah,Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
Zajakallah for this wonderful app,Positive,Positive,Positive,positive
Amazing,Positive,Positive,Positive,positive
This is the second app that help me relearn what I am been taught at my Islamic school,Neutral,Neutral,Neutral,positive
The aplication meets my qualification.,Neutral,Neutral,Neutral,positive
A wonderful program and comfortable reading. I recommend it to everyone,Positive,Positive,Positive,positive
Awesome app,Positive,Positive,Positive,positive
Beat app,Neutral,Neutral,Positive,neutral
Easy to read and quick to understand,Positive,Positive,Positive,positive
Been using this app for years,Neutral,Neutral,Positive,positive
Masha Allah may Allah bless you for this app.. It's a blessing,Positive,Positive,Positive,positive
"Assalam or Alaikum, AlhamduliLLAH amazing app!",Positive,Neutral,Positive,positive
Very easy to understand,Positive,Positive,Positive,positive
So good for the old and new muslim thanks for this app 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,Positive,Positive,Positive,positive
Very good app,Positive,Positive,Positive,positive
I love the Quran,Positive,Positive,Positive,positive
These apps are the best of all the apps on my phone. Thank you very much.,Positive,Neutral,Positive,positive
It's the best application and ever. One can have it forever. I love it and I'm also glad to have it. Thanks 🙏,Positive,Positive,Positive,positive
Well improved and advanced from previous version,Positive,Positive,Positive,positive
"It is great help for me, because it helps understand the meanings and understand how the language works inspite of my sketchy understanding of Arabic grammar.",Positive,Neutral,Positive,positive
"Alhamdulillah！！！！ Very voluminous in terms of Divine knowledge, convenient, many possibilities and options. It will be useful for learning and memorizing the Qur'an. I recommend it to all Brothers and Sisters!!!",Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
It been nice using this app am yet to see any displeasure Maasha Allah .,Positive,Positive,Positive,positive
I think so far it's the best of all I've used,Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
This app is just too good you can decide if you want to read English or other languages ​​in German and you can even still read without internet! Best quran app and good English translation!!! And no additions,Positive,Positive,Positive,positive
"The application is really good. The letters can be enlarged, so those with nearsightedness are suitable for using this application. There are also many language translation options. Top 😀",Positive,Positive,Positive,positive
Best,Positive,Positive,Positive,positive
good,Positive,Positive,Positive,positive
Amazing recommend it to everyone,Positive,Positive,Positive,positive
Ok,Neutral,Neutral,Neutral,neutral
Alhamdullah Its good app,Positive,Positive,Positive,positive
Alhamdulillah.,Neutral,Neutral,Positive,positive
ALL GRATITUDE TOWARDS ALLAH!! AL-QURAN APP BY [GTAF] IS ONE OF THE BEST APP FOR LEARNING QURAN. thank you very much,Positive,Positive,Positive,positive
Thank you all for analyzing Al-Qur'an in such a beautiful way and I pray that you will make better apps in the future...💝💖,Positive,Positive,Positive,positive
Good application for studying the Koran,Positive,Positive,Positive,positive
Just great.♡♡♡♡,Positive,Neutral,Positive,positive
Thank God,Positive,Positive,Positive,positive
God bless you and may Allah reward you,Positive,Positive,Positive,positive
"Great app for learning Quran, but it is glitchy. So I hope that can be improved.",Negative,Negative,Negative,negative
"This new app is good,help me to perform many things here",Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"This app has helped me a lot or resulted in a lot, thank you ❤️",Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
Amazing experience. May Allah reward you.,Positive,Neutral,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
Masha Allah Good for Muslim to understand the book of Allah in English translation.,Positive,Neutral,Positive,positive
Why there is no Urdu audio translation?,Neutral,Neutral,Negative,negative
"It's a very good application, I like it",Positive,Positive,Positive,positive
"MashaAllah, keep it more useful. Salaam",Negative,Negative,Negative,positive
Very nicely done and more informative about Holy Quran,Positive,Positive,Positive,positive
May Allah reward the people who built this app and are continuously working to improve it. They have helped so many people make quran their companion and I would recommend everyone to have this in your app list so you can remember Allah morning and evening and everyone gets the reward in sha Allah,Positive,Positive,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
A vary good app for those who want to the study the Holy Quran.,Neutral,Neutral,Positive,positive
under test,Neutral,Neutral,Neutral,neutral
"The App is ok and it needs to be upgraded to more advanced features also whenever i am reading a particular verse,if there is any interaction be it an incoming call when coming back to read the particular verse it will start all over from the beginning which is not suppose to be instead of starting from where i stopped pls work on this issue jazaykumullahukayrun fih Dunya wal Akirah.",Negative,Negative,Negative,neutral
Alhamdulillah,Neutral,Neutral,Positive,positive
❤❤❤,Neutral,Neutral,Positive,positive
"The app glitches a little when you play the audio, it sometimes goes over the intended verses, but its convenient to have an auto scroll feature and word to word translation",Positive,Positive,Positive,negative
🥰,Neutral,Neutral,Positive,positive
A wonderful software,Positive,Positive,Positive,positive
Really good user experience for quran reading,Positive,Positive,Positive,positive
Thanks easy to understand really nice,Positive,Positive,Positive,positive
Using it for quite sometime now. Improved a lot now. Only issue I still face is related to sync of bookmarks to account. It works sometime and sometime it removes the bookmark while syncing. You need to signout and sign in frequently. Still a 5 star app.,Positive,Positive,Positive,neutral
It's easy and comprehensive,Positive,Positive,Positive,positive
This app is fantastic May Allah bless the initiator of this. Barakalau feekum,Positive,Neutral,Positive,positive
Very good app mashallah,Positive,Positive,Positive,positive
i learn a lot from this qur an .and also understand thank you so much,Positive,Positive,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
Please please add Urdu translation too,Positive,Neutral,Positive,neutral
Very good,Positive,Positive,Positive,positive
❤️,Positive,Positive,Positive,positive
Masha allah good apss,Positive,Positive,Positive,positive
It's very good app but just that the audio uses wifi to play meanwhile there's no wifi where I am,Negative,Negative,Negative,negative
Masha Allah,Neutral,Neutral,Neutral,positive
I love this app.May Allah give proper reward to our brothers who create this app.I think all the Quran lovers love this app.I suggested this app to my cosin who is also a Quran lover.,Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
great app,Positive,Positive,Positive,positive
Masha Allah 🥰 to the developers. Such a nice app,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
Alhamdulillah Benefits,Neutral,Neutral,Positive,positive
"It's one of the best Qur'anic apps, keep up the good work, jazakummullahu khairan",Positive,Positive,Positive,positive
Probably the best of the Qur'an apps . Loved it ❤️❤️,Positive,Positive,Positive,positive
The Best App of all. Thanks,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
Very very very very very very goooood,Positive,Positive,Positive,positive
Very good apps,Positive,Positive,Positive,positive
Very helpful,Positive,Positive,Positive,positive
Best app,Positive,Positive,Positive,positive
"Alhamdulillāh! I have been searching for an application to help give deeper translation of the verses of the Qur-ān and mā shā Allāh, this is just an amazing one; to me, the best. I recommend it for all seekers of the knowledge of Islam. May Allāh reward the producers with with goodness and accept it as continuous charity. Āmeen!",Positive,Positive,Positive,positive
"Masha Allah, Tabarakallah",Neutral,Neutral,Positive,positive
Alhamdulillah one of my most favourite quran app.,Neutral,Neutral,Neutral,positive
"Thank God, it is very useful, it is very easy to find basic words.",Positive,Positive,Positive,positive
Quran games are very beautiful.......,Neutral,Neutral,Neutral,positive
kind and very helpful,Positive,Positive,Positive,positive
Nementen,Neutral,Neutral,Positive,negative
The application is excellent. Thank you for your efforts. There is a problem with the bookmark not appearing in the consecutive verses page mode or changing to another verse on another page.,Negative,Neutral,Positive,negative
Very good,Positive,Positive,Positive,positive
Barak Allah is your fee,Neutral,Neutral,Positive,neutral
Mashaa Allah Tabark Allah,Neutral,Neutral,Neutral,positive
Good,Positive,Positive,Positive,positive
Great,Positive,Positive,Positive,positive
"Verse No. 7, Surah Al-Isra, the writing is incorrect. Please correct it",Negative,Negative,Negative,negative
Very organized and easy to use app that every Muslim must get. May ALLAH richly reward the team in charge of it.,Positive,Positive,Positive,positive
Ok bgt,Neutral,Neutral,Neutral,positive
Alhamdulillah it is very beautiful from which I also benefited.,Positive,Neutral,Positive,positive
"Very useful, makes it easier to learn mufrodat Al-Quran",Positive,Positive,Positive,positive
Best Quran app available. Especially if you like tafsir and word for word translations,Positive,Positive,Positive,positive
Very excellent and very useful,Positive,Positive,Positive,positive
Best,Positive,Positive,Positive,positive
"Masha Allah, Alhamdulillah, really it's a wonderful app.",Positive,Neutral,Positive,positive
Maa sha allh very good,Positive,Positive,Positive,positive
Best for Muslims ☪️ You can use this app as many times and can even add bookmarks.,Positive,Positive,Positive,positive
"Mashallah, Subhanallah, Alhamdulillah. The best aps in my whole life. Thanks a lot greentech...(incredible) I can't find the language to say anything else, I will just say that this is the best software in my life",Positive,Positive,Positive,positive
Too good,Positive,Neutral,Positive,positive
Alhamdulillah very good,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
"Good, useful",Positive,Positive,Positive,positive
Burn the Quran regularly. Live an enlightened life.,Neutral,Neutral,Neutral,positive
Lack of clarity in the pause marks in the Qur’an,Neutral,Neutral,Negative,negative
Amazing app! Allahumma baarik!,Positive,Neutral,Positive,positive
This Quran app is absolutely fantastic,Positive,Positive,Positive,positive
"it is one of the best copies of Qur'an out there. very descriptive, easy to understand translation, very clear Arabic writing style. best part for me is the word by word translation. highly recommended to download.",Positive,Positive,Positive,positive
Good 👍👍👍,Positive,Positive,Positive,positive
"A very wonderful application, God bless you",Positive,Positive,Positive,positive
This App is just amazing. Alhamdulillah found this app n it's really helpful. Jazakallah khair!,Positive,Positive,Positive,positive
Excellent💎,Positive,Positive,Positive,positive
Beautiful application 🤍,Positive,Positive,Positive,positive
when using same account in 2 different mobile. the data don't sync automatically.,Negative,Negative,Negative,negative
One of the best app to study Qur'an out there in various languages :),Positive,Neutral,Positive,positive
Syukron,Neutral,Neutral,Positive,positive
"It is very good to be a blessing in the world and the hereafter, amen",Positive,Positive,Positive,positive
"Thanks so much,for everythings",Positive,Positive,Positive,positive
like this very much.. help me a lot,Positive,Positive,Positive,positive
It's very good if you don't bring a Koran when traveling long distances such as toll roads,Neutral,Neutral,Positive,neutral
"In the name of God, Mashallah, a beautiful program, may God reward you",Positive,Positive,Positive,positive
Allhamdulliah ihave studied a meaning of quran in this app,Neutral,Neutral,Neutral,positive
Great job indeed. Jajakallah khayer..,Positive,Neutral,Positive,positive
May allah give you better reward - Ameen,Neutral,Neutral,Neutral,positive
"Really beneficial, JazakAllahu Khairan. However, when trying to switch between the tabs located on the bottom for the screen the app freezes and crashes.",Positive,Negative,Negative,negative
Ts the best app,Positive,Positive,Positive,positive
"The best thing I ever downloaded, brilliant app",Positive,Positive,Positive,positive
"Shukran Jazeelan, great experience navigating this app. However, there's notable incoherence and disarrangement of the e'rab translation. Please do kindly look into this.",Negative,Negative,Positive,negative
Thanks 😊😊😊 to,Positive,Neutral,Positive,positive
Alihamdulillah for this great app. BARAKALLAHU Feek to the developers,Positive,Positive,Positive,positive
It was really good I'm working on it,Positive,Positive,Positive,positive
"The application cannot be accessed at all. God bless whoever developed this program, thank you very much",Negative,Negative,Negative,positive
Allah is Almighty.🥰🥰,Neutral,Neutral,Neutral,positive
Best app,Positive,Positive,Positive,positive
Been an impressive experience,Positive,Positive,Positive,positive
Mashallah very good app and a very nice ui ( user interface),Positive,Positive,Positive,positive
Beautiful..,Positive,Neutral,Positive,positive
"Alhamdulillah, just awesome. ❤️❤️❤️",Positive,Neutral,Positive,positive
Great Quran,Positive,Positive,Positive,positive
Very cool thank you,Positive,Positive,Positive,positive
"Excellent app for translation, tasfir, also word by word meaning.",Positive,Neutral,Positive,positive
Wonderful apping,Positive,Positive,Positive,positive
"Subhanallah, keep growing",Positive,Positive,Positive,positive
Very good translation application word by word also do it in French because its important,Positive,Positive,Positive,positive
"Turn on the ""Specific Verses"" option. So that one can only listen to the verse until it is well purified and mastered and the other verse is not turned on.",Neutral,Neutral,Neutral,neutral
"Very good and helpful app If possible add night mode to it, its hard to use the app at night time",Positive,Positive,Positive,positive
I love it,Positive,Positive,Positive,positive
Easy to use and very precise,Positive,Positive,Positive,positive
best Quran app,Neutral,Neutral,Positive,positive
Mashallah ❤️ Excellent App❤️,Positive,Positive,Positive,positive
"May God reward you, excellent",Positive,Positive,Positive,positive
It is too early to comment but so far I found it good,Positive,Positive,Positive,positive
It's good,Positive,Positive,Positive,positive
"Great, convenient. It works without the Internet and advertising...",Positive,Negative,Positive,positive
Good app,Positive,Positive,Positive,positive
"Mashallah! It is one of the best apps that I have seen, Allah will give you Sadaqa. Just the mini prob is this, that it KEEP SCREEN ON doesn't work. you have to touch the screen that it should not lock, please solve the prob in new update.",Negative,Negative,Negative,positive
MashaAllah🍃,Neutral,Neutral,Neutral,positive
Excellent,Positive,Positive,Positive,positive
Best app !!!,Positive,Positive,Positive,positive
"Awesome, God willing",Positive,Neutral,Neutral,positive
Excellent app love it,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
Everyone says it's a good thing because this add is free. Good Application,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
great app for muslims,Positive,Positive,Positive,positive
May God reward you with good health,Neutral,Neutral,Positive,positive
"It is a very good, reliable application with easy access",Positive,Positive,Positive,positive
"Best App, Amazing, So much helpful, jazAkallah, This is what you need for short Instant tafsir View of the Quran.",Positive,Neutral,Positive,positive
Awesome app for learning Quran.,Positive,Neutral,Positive,positive
Best apps,Positive,Positive,Positive,positive
May Allah reward you!,Neutral,Neutral,Positive,positive
"So far experience is very good ,it would we keep the app open in popup , so that we can keep listening while working . The biggest pro is this app is without adds.May Allah subhanawtala accept the efforts of developers and grant us all hidaya",Positive,Positive,Positive,positive
"Best of the best, I bought tablet just for this app, so I can read the Quran with tafsir of ibn Kathir, best work جزاك الله خيرا",Positive,Positive,Positive,positive
